zip,count,prevalence
60614,7284,0.03741447679316225
60647,7088,0.03640771712107826
60657,6824,0.03505167348112839
60622,6108,0.0313739187606583
60611,6094,0.03130200735550944
60608,5925,0.030433933964783957
60618,5923,0.03042366090690555
60625,5387,0.02767048139549218
60639,5208,0.026751042715374658
60607,5145,0.026427441392204803
60640,5132,0.02636066651599515
60623,4945,0.025400135604363994
60616,4681,0.02404409196441413
60632,4626,0.023761582872757904
60613,4430,0.022754823200673912
60659,4323,0.02220521460417908
60654,4161,0.021373096916028025
60609,4079,0.020951901543013293
60610,3859,0.019821865176388405
60619,3819,0.01961640401882024
60634,3800,0.019518809968975367
60629,3734,0.0191797990589879
60617,3619,0.018589098230979432
60641,3583,0.01840418318916809
60620,3570,0.018337408312958436
60628,3507,0.01801380698978858
60601,3253,0.016709128639230752
60606,3167,0.016267387150459205
60626,3135,0.016103018224404676
60612,3122,0.016036243348195024
60605,3118,0.016015697232438206
60660,2917,0.014983254915658195
60651,2888,0.014834295576421278
60661,2782,0.01428982350886565
60643,2692,0.013827535904337286
60630,2620,0.013457705820714594
60666,2596,0.013334429126173697
60638,2481,0.012743728298165231
60644,2439,0.012527994082718662
60636,2363,0.012137617883339155
60637,2278,0.011701012923506811
60649,2254,0.011577736228965914
60642,2214,0.011372275071397752
60615,2191,0.011254134905796059
60624,2130,0.010940806640504612
60603,1888,0.009697766637217234
60652,1744,0.008958106469971852
60621,1664,0.00854718415483553
60653,1647,0.00845986316286906
60631,1475,0.007576380185325964
60645,1425,0.007319553738365762
60646,1411,0.007247642333216906
60602,1409,0.007237369275338497
60604,1290,0.006626122331573216
60707,1125,0.005778595056604549
60655,816,0.0041914076143905
60656,814,0.004181134556512091
60633,341,0.0017515563682685789
60827,134,0.0006882948778533419
nan,3,1.540958681761213e-05
60627,2,1.0273057878408087e-05
60805,2,1.0273057878408087e-05
