page,country,rev_id,ores_score,Geography,Population mid-2018 (millions),_merge
Tuiloma Pule Lameko,Samoan,707750982,Stub,,,left_only
Juan Ramón Salgado,Hondura,707824636,Stub,,,left_only
André-Philippe Futa,"Congo, Dem. Rep. of",708009445,Start,,,left_only
Juan José Cañas,Salvadoran,708089470,Stub,,,left_only
Mohammad Barghouti,Palestinian Territory,708269321,Stub,,,left_only
Gérard Gifuza,"Congo, Dem. Rep. of",708358969,Stub,,,left_only
Koloso Sumaili,"Congo, Dem. Rep. of",708359204,Stub,,,left_only
Ahmed Khalidi,Palestinian Territory,708495719,Stub,,,left_only
Tuo Fozié,Ivorian,708711840,Start,,,left_only
Terry Le Main,Jersey,708727189,Start,,,left_only
Paul Routier,Jersey,708727221,Start,,,left_only
Mike Vibert,Jersey,708766654,Start,,,left_only
Health Minister of the Palestinian National Authority,Palestinian Territory,708817890,Stub,,,left_only
Lee Moore (politician),Saint Kitts and Nevis,709078753,Stub,,,left_only
Joseph Parry (politician),Saint Kitts and Nevis,709078817,Start,,,left_only
Qais Abd al-Karim,Palestinian Territory,709529097,Stub,,,left_only
Mahmoud Aloul,Palestinian Territory,709567584,Stub,,,left_only
Pavla Topolánková,Czech Republic,709676840,Start,,,left_only
Harold Dalson,Saint Lucian,709912281,Stub,,,left_only
Keith Mondesir,Saint Lucian,709912316,B,,,left_only
Rufus Bousquet,Saint Lucian,709914459,Start,,,left_only
Victor Batarseh,Palestinian Territory,709994434,Stub,,,left_only
Hanna Nasser (academic),Palestinian Territory,710133339,Start,,,left_only
Sean Power (Jersey),Jersey,710334019,Stub,,,left_only
Anastas Hanania,Palestinian Territory,710390049,Start,,,left_only
Robert James Dugu Gordon,Saint Kitts and Nevis,710428915,Stub,,,left_only
Leonard Norman,Jersey,710503170,Start,,,left_only
José Gregorio Salazar,Salvadoran,710543364,Start,,,left_only
Mike Torode,Guernsey,710546915,Stub,,,left_only
Diego Vigil Cocaña,Salvadoran,710555824,Start,,,left_only
Nicolás Espinoza,Salvadoran,710578840,Start,,,left_only
Léon Emmanuel Monnet,Ivorian,710585105,Stub,,,left_only
Juan José Alvarado,Hondura,710598059,Stub,,,left_only
Joudeh George Murqos,Palestinian Territory,710676772,Stub,,,left_only
Pedro Barriere,Salvadoran,710677703,Start,,,left_only
Joaquín de San Martín,Salvadoran,710828020,Start,,,left_only
Ali al-Sartawi,Palestinian Territory,710990363,Stub,,,left_only
Juan Ángel Almendares Bonilla,Hondura,711170881,Stub,,,left_only
Washington Malianga,Rhodesian,711506001,Stub,,,left_only
Josef Barák,Czech Republic,711675761,Stub,,,left_only
Ronald Snapper,Rhodesian,712233907,Stub,,,left_only
Rogerio Lobato,East Timorese,712249441,Start,,,left_only
Jamal Tirawi,Palestinian Territory,712310215,Start,,,left_only
Antonín Švehla,Czech Republic,712426548,Stub,,,left_only
Peter Waterworth,Montserratian,712713704,Stub,,,left_only
Pierre Djédji Amondji,Ivorian,713176326,Stub,,,left_only
Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149,Stub,,,left_only
Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718,Stub,,,left_only
Samir Abu Eisheh,Palestinian Territory,713203735,Stub,,,left_only
Henri Beaujean,Guadeloupe,713324685,Stub,,,left_only
Diabete Aboubacar Siriki,Ivorian,713381693,Stub,,,left_only
Sami Taha,Palestinian Territory,713505054,Start,,,left_only
Kisula Ngoy,"Congo, Dem. Rep. of",713583472,Stub,,,left_only
Jakob Marzel Sternberger,Czech Republic,713698544,Stub,,,left_only
Ivan Hribar,Carniolan,713766077,C,,,left_only
Jean Maran,Martinique,713974388,Stub,,,left_only
Andrias Christian Evensen,Faroese,714088539,Start,,,left_only
Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941,Stub,,,left_only
Alois Anderka,Czech Republic,714174726,Stub,,,left_only
Ayyub Musallam,Palestinian Territory,714176771,Stub,,,left_only
Hajj Essa Hamed,Palestinian Territory,714181175,Stub,,,left_only
Auguste Denise,Ivorian,714183793,Stub,,,left_only
Philippe Yacé,Ivorian,714200423,Stub,,,left_only
Hasan Tahboub,Palestinian Territory,714208891,Stub,,,left_only
Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527,Start,,,left_only
Laauli Leuatea Polataivao,Samoan,714244543,Stub,,,left_only
José Félix Quirós,Salvadoran,714256648,Stub,,,left_only
Hanna Nasser,Palestinian Territory,714586856,Stub,,,left_only
Jean-Baptiste Mockey,Ivorian,714822110,Stub,,,left_only
Joseph Orpen,Cape Colony,715016315,C,,,left_only
Ghazi Hanania,Palestinian Territory,715125381,Stub,,,left_only
Hákun Djurhuus,Faroese,715330944,Stub,,,left_only
Oscar Kilgore,Hondura,715365023,Stub,,,left_only
Ivan Dejmal,Czech Republic,715467197,Start,,,left_only
Serge Larcher,Martinique,715489433,Stub,,,left_only
Jógvan Justinusson,Faroese,715490721,Stub,,,left_only
Franz Macoun,Czech Republic,715640391,Stub,,,left_only
Edgar Allen Christian,Pitcairn Islands,715823848,Stub,,,left_only
Frederick Martin Christian,Pitcairn Islands,715823876,Stub,,,left_only
John Lorenzo Christian,Pitcairn Islands,715823908,Stub,,,left_only
Andrass Samuelsen,Faroese,716137698,Stub,,,left_only
Kim Seung-kew,South Korean,716323288,Stub,,,left_only
Joseph Lambert Eustace,Saint Vincent and the Grenadines,716335437,Start,,,left_only
Len Ishmael,Saint Lucian,716376965,Stub,,,left_only
Amin Abd al-Hadi,Palestinian Territory,716425885,Stub,,,left_only
Gregor Žerjav,Carniolan,716507073,Start,,,left_only
Karel Dežman,Carniolan,716574519,C,,,left_only
Willem Cornelis Janse van Rensburg,South African Republic,716703178,Start,,,left_only
Karel Urbánek,Czech Republic,716711851,Stub,,,left_only
Roberto Flores Bermúdez,Hondura,716882219,Stub,,,left_only
Samir Hulileh,Palestinian Territory,717174805,Start,,,left_only
Stanislav Kochiev,South Ossetian,717215546,Start,,,left_only
Valeriy Hubulov,South Ossetian,717241760,Start,,,left_only
Benjamin Stanley Young,Pitcairn Islands,717259837,Stub,,,left_only
Edward Quintal,Pitcairn Islands,717338734,Stub,,,left_only
Arthur Quintal I,Pitcairn Islands,717340951,Stub,,,left_only
Fletcher Christian II,Pitcairn Islands,717340996,Stub,,,left_only
Moses Young,Pitcairn Islands,717341064,Stub,,,left_only
Matthew McCoy (Magistrate),Pitcairn Islands,717345596,Stub,,,left_only
Arthur Quintal II,Pitcairn Islands,717346443,Stub,,,left_only
Leona Gabriel,Martinique,717349591,Stub,,,left_only
Hatem Qafisha,Palestinian Territory,717350346,Stub,,,left_only
Josip Vilfan,Carniolan,717350390,B,,,left_only
Charles Christian II,Pitcairn Islands,717350782,Stub,,,left_only
Seo Young-kyo,South Korean,717405394,Start,,,left_only
Vladimír Klokočka,Czech Republic,717429365,Start,,,left_only
To’alepaiali’i Toeolesulusulu Salesa III,Samoan,717442173,Stub,,,left_only
Tou Travel Ariki,Cook Island,717545630,Stub,,,left_only
Piho Rua,Cook Island,717593716,Start,,,left_only
Luka Svetec,Carniolan,717669055,Start,,,left_only
María Josefa Lastiri,Hondura,717808509,Start,,,left_only
Norris Henry Young,Pitcairn Islands,717867039,Stub,,,left_only
Robert Woonton,Cook Island,717897925,Start,,,left_only
Edgardo Carlos Suárez Mallagray,Salvadoran,717903674,Stub,,,left_only
Nayef Rajoub,Palestinian Territory,717907429,Stub,,,left_only
Ben Shenton,Jersey,717911161,Start,,,left_only
Hilal Al Sarmi,Omani,717915660,Stub,,,left_only
Jean Julien Angot des Rotours,Guadeloupe,718041739,Start,,,left_only
Eduardo Bueso,Hondura,718132526,Stub,,,left_only
Klaas Afrikaner,Cape Colony,718462130,Stub,,,left_only
Delphin Kyubwa,"Congo, Dem. Rep. of",718961623,Stub,,,left_only
Namulau’ulu Vavae Tuilagi,Samoan,718995854,Stub,,,left_only
Laurie Morgan,Guernsey,719122168,Stub,,,left_only
Ngereteina Puna,Cook Island,719186872,Stub,,,left_only
Christopher J. Turner,Montserratian,719256142,Start,,,left_only
Elvin Santos,Hondura,719637124,Start,,,left_only
Lefau Harry Schuster,Samoan,719691980,Stub,,,left_only
Arthur Galsworthy,Pitcairn Islands,719706841,Stub,,,left_only
Manuel Magalhaes de Oliveira,East Timorese,720011934,Stub,,,left_only
Jaromír Jermář,Czech Republic,720027362,Stub,,,left_only
Jules Ninine,Guadeloupe,720032116,Stub,,,left_only
Furcie Tirolien,Guadeloupe,720040455,Stub,,,left_only
Henri Bangou,Guadeloupe,720040633,Stub,,,left_only
Dominique Larifla,Guadeloupe,720040679,Stub,,,left_only
Georges Dagonia,Guadeloupe,720040713,Stub,,,left_only
François Louisy,Guadeloupe,720040739,Stub,,,left_only
Henri Agarande,Martinique,720040766,Stub,,,left_only
Georges Guéril,French Guiana,720040781,Stub,,,left_only
Édouard Gaumont,French Guiana,720040911,Stub,,,left_only
Édouard Chammougon,Guadeloupe,720047704,Stub,,,left_only
Philippe Edmond-Mariette,Martinique,720051482,Stub,,,left_only
Guy Lordinot,Martinique,720051522,Stub,,,left_only
Anicet Turinay,Martinique,720051537,Stub,,,left_only
Léopold Hélène,Guadeloupe,720055613,Stub,,,left_only
Leo Andy,Guadeloupe,720055699,Stub,,,left_only
José Moustache,Guadeloupe,720055763,Stub,,,left_only
Frédéric Jalton,Guadeloupe,720055814,Stub,,,left_only
Rosan Girard,Guadeloupe,720055877,Stub,,,left_only
Armand Jean-François,Guadeloupe,720055937,Stub,,,left_only
Michel Renard,Martinique,720059715,Stub,,,left_only
Jean Silvandre,Martinique,720059792,Stub,,,left_only
Marie-Joseph Pernock,Martinique,720116944,Stub,,,left_only
Paul Valentino,Guadeloupe,720117073,Stub,,,left_only
Marcel Esdras,Guadeloupe,720117155,Stub,,,left_only
Mariani Maximin,Guadeloupe,720117294,Stub,,,left_only
Camille Darsières,Martinique,720127025,Stub,,,left_only
Homère Clément,Martinique,720127121,Stub,,,left_only
Ghassan Shakaa,Palestinian Territory,720225559,Stub,,,left_only
Sam Condor,Saint Kitts and Nevis,720360218,Stub,,,left_only
Aníbal Portillo,Salvadoran,720419598,Stub,,,left_only
Robert Le Masurier,Jersey,720430005,Stub,,,left_only
John Allen (diplomat),Tokelauan,720435378,Stub,,,left_only
Raymond Tarcy,French Guiana,720461524,Stub,,,left_only
José Francisco Valiente,Salvadoran,720478176,Stub,,,left_only
Salim Zanoun,Palestinian Territory,720541817,Stub,,,left_only
Joseph Nathaniel France,Saint Kitts and Nevis,720572188,Stub,,,left_only
Diego de Holguín,Salvadoran,720623176,Stub,,,left_only
Sigfrido Reyes Morales,Salvadoran,720633452,Start,,,left_only
Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135,Start,,,left_only
Zurab Achba,Abkhazia,721094337,Stub,,,left_only
José Endundo Bononge,"Congo, Dem. Rep. of",721206007,Stub,,,left_only
Amédée Fengarol,Guadeloupe,721660701,Stub,,,left_only
Rostislav Khugayev,South Ossetian,721687759,Stub,,,left_only
Artur London,Czech Republic,721736524,Start,,,left_only
Alain Tien-Liong,French Guiana,721865198,Stub,,,left_only
Álvur Kirke,Faroese,721938213,Stub,,,left_only
Marlon Pascua,Hondura,722006681,Stub,,,left_only
Domingo Vásquez,Hondura,722195895,Stub,,,left_only
Mohammed Al Rumhi,Omani,722258362,Stub,,,left_only
Peter Harwood,Guernsey,722295712,Stub,,,left_only
Rikard Long,Faroese,722336332,Start,,,left_only
Sigurð Joensen,Faroese,722336979,Start,,,left_only
Enrique Flores Lanza,Hondura,722442093,Stub,,,left_only
Jógvan Poulsen (1854–1941),Faroese,722590461,Start,,,left_only
Martin Storey (politician),Guernsey,722806951,Stub,,,left_only
František Sláma (politician),Czech Republic,722937211,Stub,,,left_only
Kevin C. Lewis,Jersey,722988899,Stub,,,left_only
Lee Wu-jong,South Korean,723064614,Stub,,,left_only
Themba N. Masuku,Swaziland,723121670,Stub,,,left_only
Jan Kubice,Czech Republic,723151837,Stub,,,left_only
Tuitama Talalelei Tuitama,Samoan,723152770,Stub,,,left_only
Renan Inestroza,Hondura,723153856,Stub,,,left_only
Kamil Jankovský,Czech Republic,723207013,Stub,,,left_only
Manuel Enrique Araujo,Salvadoran,723277343,Start,,,left_only
Mauricio Oliva,Hondura,723304712,Stub,,,left_only
Christian Groepe,Cape Colony,723563811,B,,,left_only
Karim Mammadbeyov,Dagestani,723563977,Start,,,left_only
Shota Shamatava,Abkhazia,723736482,Stub,,,left_only
Shawn Richards,Saint Kitts and Nevis,723892438,Start,,,left_only
Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158,Stub,,,left_only
Jacob Vestergaard,Faroese,724674137,Start,,,left_only
Václav Vacek,Czech Republic,724691268,Stub,,,left_only
Rob Duhamel,Jersey,724891592,Stub,,,left_only
William Hume (Cape politician),Cape Colony,724976433,Start,,,left_only
Johan Simonsen,Faroese,725030656,Stub,,,left_only
Armando Calidonio,Hondura,725105423,Stub,,,left_only
Sébastien Impeto Pengo,"Congo, Dem. Rep. of",725141090,Stub,,,left_only
Kári P. Højgaard,Faroese,725288194,Start,,,left_only
Carlos Urbizo,Hondura,725343188,Stub,,,left_only
Čestmír Císař,Czech Republic,725362978,C,,,left_only
Mauricio Villeda,Hondura,725459626,Stub,,,left_only
Duvalle,Saint Vincent and the Grenadines,725462724,Start,,,left_only
Séry Bailly,Ivorian,725560428,Start,,,left_only
Miguel Andonie Fernández,Hondura,725591760,Stub,,,left_only
Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476,Stub,,,left_only
Patrick J. D. Ryan,Jersey,725737326,Stub,,,left_only
René Toribio,Guadeloupe,725882471,Start,,,left_only
Dominic Fedee,Saint Lucian,725910626,Stub,,,left_only
William Carey (Bailiff of Guernsey),Guernsey,725970969,Stub,,,left_only
Howard Fergus,Montserratian,725980651,Start,,,left_only
Yolani Batres,Hondura,726246603,Stub,,,left_only
Philip Pierre,Saint Lucian,726374537,Stub,,,left_only
Janez Evangelist Krek,Carniolan,726434981,Start,,,left_only
Luca Rovinalti,Czech Republic,726666131,Stub,,,left_only
Le Mamea Matatumua Ata,Samoan,726724077,Stub,,,left_only
Tole’afoa Solomona To’ailoa,Samoan,726724455,Stub,,,left_only
Kamil Krofta,Czech Republic,726762194,Start,,,left_only
Manuel Antonio Alberto Zelaya,Hondura,726766670,Stub,,,left_only
Yahya Al Khusaibi,Omani,726862168,Stub,,,left_only
List of Danish High Commissioners in Greenland,Greenlandic,728026000,Stub,,,left_only
Emmanuel Véry-Hermence,Martinique,728154475,Stub,,,left_only
List of Presidents of the House of Ariki,Cook Island,728378933,Stub,,,left_only
Milan Štěch,Czech Republic,728506208,Stub,,,left_only
Laurent Akoun,Ivorian,729142061,Stub,,,left_only
Kristin Michelsen,Faroese,729422866,Start,,,left_only
Sayyid Badr bin Hamad bin Hamood AlBusaidi,Omani,729426899,Start,,,left_only
David Jones (Guernsey politician),Guernsey,729428763,Stub,,,left_only
Etbin Henrik Costa,Carniolan,729435354,Start,,,left_only
Umm Nidal,Palestinian Territory,729635985,C,,,left_only
Patrice Tirolien,Guadeloupe,729810276,Stub,,,left_only
Antonín Janoušek,Czech Republic,729912438,Stub,,,left_only
Bedřich Geminder,Czech Republic,730146355,Stub,,,left_only
Aref al-Dajani,Palestinian Territory,730565205,Start,,,left_only
Faed Mustafa,Palestinian Territory,730612889,Stub,,,left_only
Hunter J. Francois,Saint Lucian,730756593,Stub,,,left_only
Joaquín Eufrasio Guzmán,Salvadoran,730854147,Stub,,,left_only
Francisco Malespín,Salvadoran,730864227,Stub,,,left_only
Jonathan Sinclair,Pitcairn Islands,731458576,Stub,,,left_only
James Sivewright,Cape Colony,731817397,C,,,left_only
